"historical_identity","root_cause_group","country_tag_if_known","law_or_variant_if_known","law_script_key","fallback_law","script_path_if_known","source_mode","historical_occurrences","normalized_message","log10_classification","log11_decision","canonical_status","current_cleanup_blocker","gameplay_files_modified","deferred_to","design_dependencies","decision_reason"
"CL-079","CL-G01_TECH_PREREQUISITES","MST","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/mst - mecklenburg-strelitz.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-080","CL-G01_TECH_PREREQUISITES","NAS","Censorship","law_censorship","Right of Assembly","common/history/countries/nas - nassau.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-081","CL-G01_TECH_PREREQUISITES","NAS","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/nas - nassau.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-082","CL-G01_TECH_PREREQUISITES","OLD","Censorship","law_censorship","Right of Assembly","common/history/countries/old - oldenburg.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-083","CL-G01_TECH_PREREQUISITES","OLD","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/old - oldenburg.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-084","CL-G01_TECH_PREREQUISITES","PAR","Censorship","law_censorship","Right of Assembly","common/history/countries/par - parma.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-085","CL-G01_TECH_PREREQUISITES","PAR","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/par - parma.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-086","CL-G01_TECH_PREREQUISITES","PCO","Censorship","law_censorship","Right of Assembly","common/history/countries/pco - puerto rico.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-087","CL-G01_TECH_PREREQUISITES","PCO","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/pco - puerto rico.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-088","CL-G01_TECH_PREREQUISITES","ALK","Censorship","law_censorship","Right of Assembly","common/history/countries/alk - alyaska.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} Company is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-089","CL-G01_TECH_PREREQUISITES","ALK","Extraction Economy","law_extraction_economy","Traditionalism","common/history/countries/alk - alyaska.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} Company is not permitted to retain law Extraction Economy, fix this or consider Traditionalism instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-090","CL-G01_TECH_PREREQUISITES","SAR","Censorship","law_censorship","Right of Assembly","common/history/countries/sar - sardinia.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-091","CL-G01_TECH_PREREQUISITES","SAR","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/sar - sardinia.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-092","CL-G01_TECH_PREREQUISITES","SAX","Censorship","law_censorship","Right of Assembly","common/history/countries/sax - saxony.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-093","CL-G01_TECH_PREREQUISITES","SAX","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/sax - saxony.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-094","CL-G01_TECH_PREREQUISITES","SCH","Censorship","law_censorship","Right of Assembly","common/history/countries/sch - schleswig.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-095","CL-G01_TECH_PREREQUISITES","SCH","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/sch - schleswig.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-096","CL-G01_TECH_PREREQUISITES","SCM","Censorship","law_censorship","Right of Assembly","common/history/countries/scm - schaumburg-lippe.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-097","CL-G01_TECH_PREREQUISITES","SCM","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/scm - schaumburg-lippe.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-098","CL-G01_TECH_PREREQUISITES","SCW","Censorship","law_censorship","Right of Assembly","common/history/countries/scw - schwarzburg.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-099","CL-G01_TECH_PREREQUISITES","SCW","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/scw - schwarzburg.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-100","CL-G02_VARIANT_VISIBILITY","SWI","Homesteading","law_homesteading","Serfdom","common/history/countries/swi - switzerland.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Homesteading, fix this or consider Serfdom instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-101","CL-G01_TECH_PREREQUISITES","TUG","Mercantilism","law_mercantilism","Isolationism","common/history/countries/tug - touggourt.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Mercantilism, fix this or consider Isolationism instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-102","CL-G01_TECH_PREREQUISITES","TUN","Mercantilism","law_mercantilism","Isolationism","common/history/countries/tun - tunis.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Mercantilism, fix this or consider Isolationism instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-103","CL-G01_TECH_PREREQUISITES","TUS","Censorship","law_censorship","Right of Assembly","common/history/countries/tus - tuscany.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-104","CL-G01_TECH_PREREQUISITES","TUS","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/tus - tuscany.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-105","CL-G01_TECH_PREREQUISITES","UNT","Freedom of Conscience","law_freedom_of_conscience","State Religion","common/history/countries/unt - united tribes.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Freedom of Conscience, fix this or consider State Religion instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-106","CL-G01_TECH_PREREQUISITES","UNT","Mercantilism","law_mercantilism","Isolationism","common/history/countries/unt - united tribes.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Mercantilism, fix this or consider Isolationism instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-107","CL-G01_TECH_PREREQUISITES","UNT","Religious Schools","law_religious_schools","No Schools","common/history/countries/unt - united tribes.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Religious Schools, fix this or consider No Schools instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-108","CL-G01_TECH_PREREQUISITES","WEI","Censorship","law_censorship","Right of Assembly","common/history/countries/wei - saxe-weimar.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-109","CL-G01_TECH_PREREQUISITES","WEI","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/wei - saxe-weimar.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-110","CL-G01_TECH_PREREQUISITES","WLD","Censorship","law_censorship","Right of Assembly","common/history/countries/wld - waldeck.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-111","CL-G01_TECH_PREREQUISITES","WLD","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/wld - waldeck.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-112","CL-G01_TECH_PREREQUISITES","WUR","Censorship","law_censorship","Right of Assembly","common/history/countries/wur - wurttemberg.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-113","CL-G01_TECH_PREREQUISITES","WUR","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/wur - wurttemberg.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
