"tag","country_name","historical_system_type","current_land_units","current_land_manpower","historical_standing_low","historical_standing_high","historical_effective_anchor","garrison_adjustment","standing_representation_factor","factor_rationale","target_land_units_low","target_land_units_high","target_land_units_recommended","target_infantry","target_cavalry","target_artillery","target_other","composition_source","composition_confidence","target_barracks_levels","historical_mobilization_type","target_mobilization_capacity","mobilization_model","current_to_target_delta","structural_defer","structural_resolution","tech_dependent_review_later","conversion_confidence","research_status","notes","recommended_formation_count"
"LAN","Lanfang","COURT_GARRISON_PLUS_MANDALA_LEVY","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","2","1","1","0","0","0","QUALITATIVE_MODEL","LOW","1","MILITIA_LEVY_OR_LOCAL_OBLIGATION","2","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","1","NO","","YES","LOW","QUALITATIVE_ONLY","Exact Jan-1776 strength not established; Southeast Asian military systems should not be normalized to a European regiment model. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"LIP","Lippe-Detmold","EUROPEAN_REGULAR_STATE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","0","0","0","0","0","0","QUALITATIVE_MODEL","LOW","0","MILITIA_RESERVE","0","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","0","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0"
"LOU","Louisiana","STRUCTURAL_OR_IMPERIAL_DEPENDENCY","0","0","","","","Handled by structural resolution","","Numeric independent-force target withheld pending structural/map resolution.","","","","","","","","QUALITATIVE_MODEL","VERY_LOW","","MILITIA_LEVY_OR_LOCAL_OBLIGATION","","ALLOCATE_FROM_OVERLORD_POOL","","YES","ALLOCATE_FROM_OVERLORD_POOL","YES","VERY_LOW","STRUCTURAL_DEFER","Louisiana is a Spanish colonial possession in 1776; not an independent national military. Numeric independent-force target withheld pending structural/map resolution.",""
"LUA","Luang Prabang","COURT_GARRISON_PLUS_MANDALA_LEVY","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","2","4","3","2","0","0","1","QUALITATIVE_MODEL","LOW","3","MILITIA_LEVY_OR_LOCAL_OBLIGATION","6","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","3","NO","","YES","LOW","QUALITATIVE_ONLY","Exact Jan-1776 strength not established; Southeast Asian military systems should not be normalized to a European regiment model. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"LUB","Lübeck","EUROPEAN_REGULAR_STATE","1","1000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","2","1","1","0","0","0","REGIONAL_MODEL","LOW","1","MILITIA_RESERVE","0","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","0","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"LUC","Lucca","EUROPEAN_REGULAR_STATE","1","1000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","2","1","1","0","0","0","REGIONAL_MODEL","LOW","1","MILITIA_RESERVE","0","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","0","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"LUX","Luxembourg","EUROPEAN_REGULAR_STATE","3","3000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","2","4","3","2","0","0","1","REGIONAL_MODEL","LOW","3","MILITIA_RESERVE","2","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","0","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"MAD","Madagascar","COURT_CORE_PLUS_TRIBUTARY_CAMPAIGN_FORCE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","6","10","8","6","2","0","0","QUALITATIVE_MODEL","LOW","8","MILITIA_LEVY_OR_LOCAL_OBLIGATION","24","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","8","NO","","YES","LOW","QUALITATIVE_ONLY","Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"MARATH","Maratha Confederacy","CONFEDERAL_CORE_PLUS_CHIEFLY_CONTINGENTS","59","59000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; confederal core only, chiefly contingents mobilizable.","35","55","45","27","15","3","0","ORGANIZATIONAL_UNITS","MEDIUM","45","TRIBAL_CONFEDERAL_LEVY","100","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-14","NO","","NO","LOW","QUALITATIVE_ONLY","The source explicitly shows heavy cavalry plus infantry/artillery and a very large support train; do not infer soldier count from camp size. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; confederal core only, chiefly contingents mobilizable.","2"
"MAS","Mascara","HOUSEHOLD_CORE_PLUS_TRIBAL_PROVINCIAL_FORCE","23","23000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","13","22","17","10","6","1","0","REGIONAL_MODEL","LOW","17","PROVINCIAL_TRIBAL_CONTINGENTS","34","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-6","NO","","YES","LOW","QUALITATIVE_ONLY","No exact Jan-1776 total established for this polity in this pass; do not infer standing strength from a single campaign army. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"MBS","Mombasa","COURT_CORE_PLUS_TRIBUTARY_CAMPAIGN_FORCE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","2","1","1","0","0","0","QUALITATIVE_MODEL","LOW","1","MILITIA_LEVY_OR_LOCAL_OBLIGATION","3","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","1","NO","","YES","LOW","QUALITATIVE_ONLY","Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"MEC","Mecklenburg-Schwerin","EUROPEAN_REGULAR_STATE","6","6000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","4","7","5","4","1","0","0","REGIONAL_MODEL","LOW","5","MILITIA_RESERVE","2","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-1","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"MEI","Saxe-Meiningen","EUROPEAN_REGULAR_STATE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","2","1","1","0","0","0","QUALITATIVE_MODEL","LOW","1","MILITIA_RESERVE","0","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","1","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"MGD","Maguindanao","COURT_GARRISON_PLUS_MANDALA_LEVY","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1","3","2","2","0","0","0","QUALITATIVE_MODEL","LOW","2","MILITIA_LEVY_OR_LOCAL_OBLIGATION","4","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","2","NO","","YES","LOW","QUALITATIVE_ONLY","Exact Jan-1776 strength not established; Southeast Asian military systems should not be normalized to a European regiment model. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"MJT","Majerteen","COURT_CORE_PLUS_TRIBUTARY_CAMPAIGN_FORCE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","2","4","3","2","1","0","0","QUALITATIVE_MODEL","LOW","3","MILITIA_LEVY_OR_LOCAL_OBLIGATION","9","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","3","NO","","YES","LOW","QUALITATIVE_ONLY","Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"MKT","Miskitia","LOCAL_REGULAR_PLUS_MILITIA","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","2","1","1","0","0","0","QUALITATIVE_MODEL","LOW","1","MILITIA_RESERVE","2","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","1","NO","","YES","LOW","QUALITATIVE_ONLY","Colonial and revolutionary military structures require careful attribution to metropolis, local assemblies or companies; no unsupported national total is invented. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"MLD","Maldives","COURT_CORE_PLUS_TRIBUTARY_CAMPAIGN_FORCE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","0","0","0","0","0","0","QUALITATIVE_MODEL","LOW","0","MILITIA_LEVY_OR_LOCAL_OBLIGATION","0","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","0","NO","","YES","LOW","QUALITATIVE_ONLY","Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0"
"MLT","Order of Malta","EUROPEAN_REGULAR_STATE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","0","0","0","0","0","0","QUALITATIVE_MODEL","LOW","0","MILITIA_RESERVE","0","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","0","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0"
"MOD","Modena","EUROPEAN_REGULAR_STATE","4","4000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","3","5","4","3","1","0","0","REGIONAL_MODEL","LOW","4","MILITIA_RESERVE","2","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","0","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"MOL","Moldavia","EUROPEAN_REGULAR_STATE","3","3000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","2","4","3","2","0","0","1","REGIONAL_MODEL","LOW","3","MILITIA_RESERVE","2","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","0","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"MON","Montenegro","EUROPEAN_REGULAR_STATE","7","7000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","4","8","6","5","1","0","0","REGIONAL_MODEL","LOW","6","MILITIA_RESERVE","3","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-1","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"MOR","Morocco","HOUSEHOLD_CORE_PLUS_TRIBAL_PROVINCIAL_FORCE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","8","14","11","6","4","1","0","QUALITATIVE_MODEL","LOW","11","PROVINCIAL_TRIBAL_CONTINGENTS","22","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","11","NO","","YES","LOW","QUALITATIVE_ONLY","No exact Jan-1776 total established for this polity in this pass; do not infer standing strength from a single campaign army. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"MSN","Massina","COURT_CORE_PLUS_TRIBUTARY_CAMPAIGN_FORCE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","6","10","8","6","2","0","0","QUALITATIVE_MODEL","LOW","8","MILITIA_LEVY_OR_LOCAL_OBLIGATION","24","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","8","NO","","YES","LOW","QUALITATIVE_ONLY","Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"MST","Mecklenburg-Strelitz","EUROPEAN_REGULAR_STATE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","2","1","1","0","0","0","QUALITATIVE_MODEL","LOW","1","MILITIA_RESERVE","0","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","1","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"MUG","Hindustan","HOUSEHOLD_CORE_PLUS_MERCENARY_LEVY","3","3000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1","3","2","1","1","0","0","REGIONAL_MODEL","LOW","2","MILITIA_LEVY_OR_LOCAL_OBLIGATION","3","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-1","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact Jan-1776 national total located; retain qualitative-only rather than fabricate precision. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"MYS","Mysore","HOUSEHOLD_CORE_PLUS_MERCENARY_LEVY","7","7000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; Haidar Ali centralizing core, later Tipu totals excluded.","25","40","32","22","6","4","0","REGIONAL_MODEL","MEDIUM","32","MILITIA_LEVY_OR_LOCAL_OBLIGATION","55","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","25","NO","","YES","LOW","QUALITATIVE_ONLY","Do not import later Tipu-era totals backward. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; Haidar Ali centralizing core, later Tipu totals excluded.","2"
"NAG","Nagpur","HOUSEHOLD_CORE_PLUS_MERCENARY_LEVY","21","21000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","12","20","16","10","4","1","1","REGIONAL_MODEL","LOW","16","MILITIA_LEVY_OR_LOCAL_OBLIGATION","24","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-5","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact Jan-1776 national total located; retain qualitative-only rather than fabricate precision. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"NAS","Nassau","EUROPEAN_REGULAR_STATE","3","3000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","2","4","3","2","0","0","1","REGIONAL_MODEL","LOW","3","MILITIA_RESERVE","2","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","0","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"NBS","New Brunswick","STRUCTURAL_OR_IMPERIAL_DEPENDENCY","0","0","","","","Handled by structural resolution","","Numeric independent-force target withheld pending structural/map resolution.","","","","","","","","QUALITATIVE_MODEL","VERY_LOW","","MILITIA_LEVY_OR_LOCAL_OBLIGATION","","NO_INDEPENDENT_1776_FORCE","","YES","NO_INDEPENDENT_1776_FORCE","YES","VERY_LOW","STRUCTURAL_DEFER","New Brunswick as a separate colony dates from after the American Revolution; 1776 forces belong to the wider British colonial structure. Numeric independent-force target withheld pending structural/map resolution.",""
"NEP","Nepal","HOUSEHOLD_CORE_PLUS_MERCENARY_LEVY","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","11","18","14","9","4","1","0","QUALITATIVE_MODEL","LOW","14","MILITIA_LEVY_OR_LOCAL_OBLIGATION","21","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","14","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact Jan-1776 national total located; retain qualitative-only rather than fabricate precision. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"NET","Netherlands","EUROPEAN_REGULAR_STATE","24","24000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","Provincial standing model with militia separated.","20","28","24","18","4","2","0","REGIONAL_MODEL","LOW","24","MILITIA_RESERVE","25","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","0","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. Provincial standing model with militia separated.","1"
"NVS","Nova Scotia","STRUCTURAL_OR_IMPERIAL_DEPENDENCY","0","0","","","","Handled by structural resolution","","Numeric independent-force target withheld pending structural/map resolution.","","","","","","","","QUALITATIVE_MODEL","VERY_LOW","","MILITIA_LEVY_OR_LOCAL_OBLIGATION","","ALLOCATE_FROM_OVERLORD_POOL","","YES","ALLOCATE_FROM_OVERLORD_POOL","YES","VERY_LOW","STRUCTURAL_DEFER","Nova Scotia is a British colony; garrison belongs to imperial/colonial structure. Numeric independent-force target withheld pending structural/map resolution.",""
"OLD","Oldenburg","EUROPEAN_REGULAR_STATE","3","3000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","2","4","3","2","0","0","1","REGIONAL_MODEL","LOW","3","MILITIA_RESERVE","2","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","0","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
